9.40	 C0:722	 C1:750	 C2:204
9.08	 D0:55	 D1:165	 D2:154

9.43	 C0:722	 C1:750	 C2:203
9.11	 D0:55	 D1:165	 D2:154

9.46	 C0:722	 C1:750	 C2:204
9.14	 D0:55	 D1:165	 D2:154

9.49	 C0:721	 C1:750	 C2:204
9.17	 D0:54	 D1:165	 D2:154

9.52	 C0:722	 C1:750	 C2:203
9.20	 D0:55	 D1:165	 D2:154

9.55	 C0:722	 C1:750	 C2:203
9.23	 D0:54	 D1:165	 D2:154

9.58	 C0:722	 C1:750	 C2:203
9.26	 D0:54	 D1:165	 D2:154

9.61	 C0:722	 C1:750	 C2:203
9.29	 D0:55	 D1:165	 D2:154

